,id,genre,track_name,artist_name,valence,energy,mood_vec,distances
1929,5VJjhHyG8NZ5xdgG6uTb3P,funk,Brick House,Commodores,0.631,0.782,"[0.631, 0.782]",0.3753531670307312
1930,0RgcOUQg4qYAEt9RIdf3oB,funk,Shining Star,"Earth, Wind & Fire",0.799,0.692,"[0.799, 0.692]",0.5656023337999943
1931,01gDLZsi0j5fWC28FLPNO8,funk,Move on Up - Extended Version,Curtis Mayfield,0.876,0.975,"[0.876, 0.975]",0.5620569366176349
1932,2fEdBCtMRLHJ53fB7hQVpR,funk,Soul With A Capital 'S',Tower Of Power,0.815,0.972,"[0.815, 0.972]",0.5011207439330364
1933,3oJL3rNbTyRmHaU2Yr4TpP,funk,Too Hot To Stop (Part 1),The Bar-Kays,0.587,0.848,"[0.587, 0.848]",0.3045554136770515
1934,4BO3iUMPSAgFmZ30MV8rBO,funk,It's Serious,Cameo,0.947,0.775,"[0.947, 0.775]",0.6662979813867066
1935,1PkMWk02bzigX3neSBa5we,funk,Watermelon Man,The J.B.'s,0.85,0.576,"[0.85, 0.576]",0.6730118869678307
1936,0hyZgl8tHThlycPEVwBpax,funk,Baby Love,Mother's Finest,0.956,0.783,"[0.956, 0.783]",0.6724314091414825
1937,6jMpvxSOhGirrDniVBqEjH,funk,Reach Out,George Duke,0.917,0.64,"[0.917, 0.64]",0.6937276122513792
1938,5hWLHFSmomXmeTXEE478My,funk,Mary Jane,Rick James,0.881,0.82,"[0.881, 0.82]",0.5899644057059714
1939,1E2PoZuAm8OVEyIzT2SAvD,funk,Knockin' em Down (Feat. Bruce Briney & Kurt Kupcho),Phat Phunktion,0.601,0.82,"[0.601, 0.82]",0.3300575707357733
1940,26FOglnpqOEWUyspcbNYq6,funk,Got to Be Real - Single Version,Cheryl Lynn,0.886,0.599,"[0.886, 0.599]",0.6889412166505935
1941,0tIUC7pNotlR2fxrpNcEMb,funk,Diggin' On James Brown,Tower Of Power,0.886,0.641,"[0.886, 0.641]",0.6664442962468807
1942,3z8kox8O9CTOPJOtgK6Xan,funk,Work to Do,Average White Band,0.856,0.917,"[0.856, 0.917]",0.5460036629913759
1943,3k0Jp5IYHtBeSNKUEOqE0i,funk,"So Ruff, so Tuff",Zapp,0.91,0.667,"[0.91, 0.667]",0.67459024600123
1944,7kQlRwniTCGhVny4V5whXZ,funk,Hot Pants... I'm Coming I'm Coming,Various Artists,0.886,0.739,"[0.886, 0.739]",0.6218681532286406
1945,6Pb0WHqmmTL308Z2uQrNP1,funk,Slippery When Wet,Commodores,0.944,0.866,"[0.944, 0.866]",0.6407721904077922
1946,7cnWNeQIQutKJmL3MZSfr6,funk,Do It Like You Do,Lettuce,0.835,0.525,"[0.835, 0.525]",0.6936894117686963
1947,3vtndp1juzqgWOe4rQIP9V,funk,High Time,Ole Børud,0.948,0.78,"[0.948, 0.78]",0.6657063917373783
1948,2RX8kOnJEVirXwP1FRgXBD,funk,House Party,Nils Landgren Funk Unit,0.893,0.731,"[0.893, 0.731]",0.6314625879654312
1949,1EIl3D1fyxXRuzcUw3bxen,funk,Dream On Dreamer,The Brand New Heavies,0.96,0.835,"[0.96, 0.835]",0.662736750150465
1950,2UE4m8egf0aREmOi47sDOk,garage,Next Girl,The Black Keys,0.255,0.748,"[0.255, 0.748]",0.24229321080046795
